,DATE,LEVEL,PRESS,RAIN,TEMP,WDIR,WSPEED
273,2020-01-12 09:00:00,53.0,1030.9,0.0,6.1,340.0,5.1
274,2020-01-12 10:00:00,60.0,1031.0,0.0,5.7,352.0,4.7
275,2020-01-12 11:00:00,58.0,1031.0,0.0,6.0,347.0,4.2
276,2020-01-12 12:00:00,47.0,1030.2,0.0,6.8,352.0,3.3
277,2020-01-12 13:00:00,27.0,1029.2,0.0,7.6,357.0,2.4
278,2020-01-12 14:00:00,0.0,1028.6,0.0,8.1,336.0,1.9
279,2020-01-12 15:00:00,-26.0,1028.3,0.0,9.5,317.0,1.2
280,2020-01-12 16:00:00,-44.0,1028.0,0.0,9.6,302.0,1.5
281,2020-01-12 17:00:00,-52.0,1027.9,0.0,8.6,311.0,1.1
282,2020-01-12 18:00:00,-49.0,1028.1,0.0,8.1,334.0,1.4
283,2020-01-12 19:00:00,-35.0,1028.1,0.0,8.3,288.0,2.0
284,2020-01-12 20:00:00,-11.0,1027.9,0.0,8.3,291.0,2.4
285,2020-01-12 21:00:00,15.0,1027.9,0.0,8.3,297.0,3.8
286,2020-01-12 22:00:00,37.0,1027.9,0.0,7.7,290.0,3.4
287,2020-01-12 23:00:00,53.0,1028.1,0.0,7.6,270.0,2.6
288,2020-01-13 00:00:00,60.0,1027.8,0.0,7.4,278.0,1.8
289,2020-01-13 01:00:00,56.0,1027.7,0.0,6.4,263.0,2.9
290,2020-01-13 02:00:00,48.0,1028.0,0.0,6.5,299.0,3.3
291,2020-01-13 03:00:00,31.0,1028.3,0.0,6.3,326.0,2.3
292,2020-01-13 04:00:00,18.0,1028.1,0.0,5.8,323.0,2.4
293,2020-01-13 05:00:00,11.0,1028.1,0.0,5.2,337.0,3.4
294,2020-01-13 06:00:00,12.0,1028.1,0.0,4.3,341.0,2.3
295,2020-01-13 07:00:00,19.0,1028.3,0.0,4.3,346.0,0.8
296,2020-01-13 08:00:00,31.0,1028.4,0.0,4.2,309.0,1.6
297,2020-01-13 09:00:00,44.0,1028.7,0.0,5.2,326.0,1.8
298,2020-01-13 10:00:00,53.0,1029.0,0.0,5.3,5.0,2.6
299,2020-01-13 11:00:00,54.0,1029.0,0.0,6.0,33.0,2.2
300,2020-01-13 12:00:00,49.0,1028.6,0.0,7.7,36.0,0.5
301,2020-01-13 13:00:00,35.0,1027.8,0.0,7.6,272.0,1.3
302,2020-01-13 14:00:00,16.0,1027.2,0.0,6.4,284.0,1.9
